Id;Organism;Taxon
CRW_16S_B_P_47;Chromohalobacter marismortui;Proteobacteria
CRW_16S_B_P_48;Citrobacter freundii;Proteobacteria
CRW_16S_B_F_49;Clostridium botulinum type f;Firmicutes
CRW_16S_B_F_52;Clostridium perfringens;Firmicutes
CRW_16S_B_F_53;Clostridium tetani;Firmicutes
CRW_16S_B_P_54;Comamonas testosteroni;Proteobacteria
CRW_16S_B_Ac_55;Corynebacterium diphtheriae;Actinobacteria
CRW_16S_B_P_56;Coxiella burnetii;Proteobacteria
CRW_16S_B_De_57;Deferribacter thermophilus;Deferribacteres
CRW_16S_B_D_58;Deinococcus radiodurans;Deinococcus-Thermus
CRW_16S_B_D_59;Deinococcus radiodurans;Deinococcus-Thermus
CRW_16S_B_P_60;Desulfovibrio desulfuricans;Proteobacteria
CRW_16S_B_P_61;Dichelobacter nodosus;Proteobacteria
CRW_16S_B_P_62;Edwardsiella tarda;Proteobacteria
CRW_16S_B_F_63;Enterococcus faecalis;Firmicutes
CRW_16S_B_F_64;Enterococcus faecium;Firmicutes
CRW_16S_B_F_65;Epulopiscium sp.;Firmicutes
CRW_16S_B_F_66;Erysipelothrix rhusiopathiae;Firmicutes
CRW_16S_B_P_67;Escherichia coli;Proteobacteria
CRW_16S_B_P_71;Escherichia coli ;Proteobacteria
CRW_16S_B_P_72;Escherichia coli O157:H7 EDL933;Proteobacteria
CRW_16S_B_F_73;Eubacterium brachy;Firmicutes
CRW_16S_B_P_74;Francisella tularensis;Proteobacteria
CRW_16S_B_Ac_75;Frankia sp.;Actinobacteria
CRW_16S_B_Fu_76;Fusobacterium necrophorum;Fusobacteria
CRW_16S_B_Fu_77;Fusobacterium nucleatum subsp. Nucleatum;Fusobacteria
CRW_16S_B_Pl_78;Gemmata obscuriglobus;Planctomycetes
CRW_16S_B_The_79;Geotoga subterranea ;Thermotogae
CRW_16S_B_P_80;Gluconacetobacter liquefaciens;Proteobacteria
CRW_16S_B_P_81;Haemophilus influenzae;Proteobacteria
CRW_16S_B_P_82;Haemophilus influenzae;Proteobacteria
CRW_16S_B_P_83;Haemophilus influenzae;Proteobacteria
CRW_16S_B_P_84;Haemophilus influenzae;Proteobacteria
CRW_16S_B_P_85;Haemophilus influenzae ;Proteobacteria
CRW_16S_B_P_86;Halomonas halodenitrificans;Proteobacteria
CRW_16S_B_P_87;Helicobacter pylori;Proteobacteria
CRW_16S_B_P_89;Helicobacter pylori J99;Proteobacteria
CRW_16S_B_F_90;Heliobacterium chlorum ;Firmicutes
CRW_16S_B_Aci_92;Holophaga foetida;Acidobacteria
CRW_16S_B_Pl_93;Isosphaera pallida;Planctomycetes
CRW_16S_B_P_94;Klebsiella pneumoniae;Proteobacteria
CRW_16S_B_F_95;Lactobacillus acidophilus;Firmicutes
CRW_16S_B_F_96;Lactococcus lactis subsp. lactis ;Firmicutes
CRW_16S_B_P_97;Legionella pneumophila;Proteobacteria
CRW_16S_B_P_98;Legionella pneumophila;Proteobacteria
CRW_16S_B_S_99;Leptonema illini;Spirochaetes
CRW_16S_B_S_100;Leptospira interrogans;Spirochaetes
CRW_16S_B_F_102;Listeria monocytogenes ;Firmicutes
CRW_16S_B_P_103;Mesorhizobium loti;Proteobacteria
CRW_16S_B_P_104;Methylobacterium sp.;Proteobacteria
CRW_16S_B_P_105;Methylococcus capsulatus;Proteobacteria
CRW_16S_B_Ac_106;Micrococcus luteus;Actinobacteria
CRW_16S_B_Cy_107;Microcystis aeruginosa;Cyanobacteria
CRW_16S_B_Ac_108;Mycobacterium avium;Actinobacteria
CRW_16S_B_Ac_109;Mycobacterium leprae;Actinobacteria
CRW_16S_B_Ac_110;Mycobacterium leprae;Actinobacteria
CRW_16S_B_Ac_111;Mycobacterium tuberculosis;Actinobacteria
CRW_16S_B_Ac_112;Mycobacterium tuberculosis;Actinobacteria
CRW_16S_B_Ac_113;Mycobacterium tuberculosis;Actinobacteria
CRW_16S_B_Ac_114;Mycobacterium tuberculosis;Actinobacteria
CRW_16S_B_Te_115;Mycoplasma capricolum;Tenericutes
CRW_16S_B_Te_116;Mycoplasma gallisepticum;Tenericutes
CRW_16S_B_Te_117;Mycoplasma genitalium;Tenericutes
CRW_16S_B_Te_118;Mycoplasma hyopneumoniae;Tenericutes
CRW_16S_B_Te_119;Mycoplasma mycoides;Tenericutes
CRW_16S_B_Te_120;Mycoplasma pneumoniae;Tenericutes
CRW_16S_B_Te_121;Mycoplasma pneumoniae;Tenericutes
CRW_16S_B_P_122;Myxococcus xanthus;Proteobacteria
CRW_16S_B_P_123;Neisseria gonorrhoeae;Proteobacteria
CRW_16S_B_P_124;Neisseria meningitidis;Proteobacteria
CRW_16S_B_P_125;Neisseria meningitidis;Proteobacteria
CRW_16S_B_Ac_126;Nocardia asteroides;Actinobacteria
CRW_16S_B_P_127;Pasteurella multocida;Proteobacteria
CRW_16S_B_P_128;Pasteurella multocida;Proteobacteria
CRW_16S_B_The_129;Petrotoga miotherma;Thermotogae
CRW_16S_B_Pl_130;Pirellula staleyi;Planctomycetes
CRW_16S_B_P_133;Plesiomonas shigelloides;Proteobacteria
CRW_16S_B_Cy_134;Pleurocapsa sp.;Cyanobacteria
CRW_16S_B_Ba_135;Porphyromonas gingivalis;Bacteroidetes
CRW_16S_B_Ch_136;Prosthecochloris vibrioformis;Chlorobi
CRW_16S_B_P_137;Proteus vulgaris;Proteobacteria
CRW_16S_B_P_138;Pseudomonas aeruginosa;Proteobacteria
CRW_16S_B_P_139;Pseudomonas aeruginosa;Proteobacteria
CRW_16S_B_P_140;Pseudomonas putida;Proteobacteria
CRW_16S_B_P_141;Pseudomonas sp.;Proteobacteria
CRW_16S_B_P_142;Psychrobacter pacificensis;Proteobacteria
CRW_16S_B_P_143;Rhodobium orientis;Proteobacteria
CRW_16S_B_P_144;Rhodoblastus acidophilus;Proteobacteria
CRW_16S_B_Ac_145;Rhodococcus erythropolis;Actinobacteria
CRW_16S_B_P_146;Rickettsia bellii;Proteobacteria
CRW_16S_B_P_147;Rickettsia felis URRWXCal2;Proteobacteria
CRW_16S_B_P_148;Rickettsia prowazekii (str. Madrid E);Proteobacteria
CRW_16S_B_P_149;Rickettsia prowazekii;Proteobacteria
CRW_16S_B_P_150;Rickettsia rickettsii;Proteobacteria
CRW_16S_B_P_151;Serratia marcescens;Proteobacteria
CRW_16S_B_P_153;Shigella dysenteriae;Proteobacteria
CRW_16S_B_P_154;Shigella dysenteriae;Proteobacteria
CRW_16S_B_S_155;Spirochaeta aurantia;Spirochaetes
CRW_16S_B_F_156;Staphylococcus aureus ;Firmicutes
CRW_16S_B_Fu_158;Streptobacillus moniliformis ;Fusobacteria
CRW_16S_B_F_159;Streptococcus mutans;Firmicutes
CRW_16S_B_F_160;Streptococcus pneumoniae ;Firmicutes
CRW_16S_B_F_161;Streptococcus pyogenes;Firmicutes
CRW_16S_B_F_162;Streptococcus pyogenes;Firmicutes
CRW_16S_B_Ac_163;Streptomyces acidiscabies;Actinobacteria
CRW_16S_B_Ac_164;Streptomyces albidoflavus;Actinobacteria
CRW_16S_B_Ac_165;Streptomyces albus;Actinobacteria
CRW_16S_B_Ac_166;Streptomyces ambofaciens;Actinobacteria
CRW_16S_B_Ac_167;Streptomyces bikiniensis;Actinobacteria
CRW_16S_B_Ac_169;Streptomyces bottropensis;Actinobacteria
CRW_16S_B_Ac_170;Streptomyces brasiliensis;Actinobacteria
CRW_16S_B_Ac_171;Streptomyces caelestis;Actinobacteria
CRW_16S_B_Ac_173;Streptomyces diastaticus;Actinobacteria
CRW_16S_B_Ac_174;Streptomyces diastatochromogenes;Actinobacteria
CRW_16S_B_Ac_178;Streptomyces galbus;Actinobacteria
CRW_16S_B_Ac_179;Streptomyces glaucescens;Actinobacteria
CRW_16S_B_Ac_180;Streptomyces gougerotii;Actinobacteria
CRW_16S_B_Ac_181;Streptomyces griseus;Actinobacteria
CRW_16S_B_Ac_182;Streptomyces hygroscopicus;Actinobacteria
CRW_16S_B_Ac_183;Streptomyces intermedius;Actinobacteria
CRW_16S_B_Ac_184;Streptomyces lavendulae;Actinobacteria
CRW_16S_B_Ac_186;Streptomyces lincolnensis;Actinobacteria
CRW_16S_B_Ac_187;Streptomyces macrosporus;Actinobacteria
CRW_16S_B_Ac_188;Streptomyces mashuensis;Actinobacteria
CRW_16S_B_Ac_189;Streptomyces megasporus;Actinobacteria
CRW_16S_B_Ac_190;Streptomyces neyagawaensis;Actinobacteria
CRW_16S_B_Ac_191;Streptomyces nodosus;Actinobacteria
CRW_16S_B_Ac_193;Streptomyces ornatus;Actinobacteria
CRW_16S_B_Ac_194;Streptomyces pseudogriseolus;Actinobacteria
CRW_16S_B_Ac_195;Streptomyces purpureus;Actinobacteria
CRW_16S_B_Ac_196;Streptomyces rimosus;Actinobacteria
CRW_16S_B_Ac_197;Streptomyces rutgersensis;Actinobacteria
CRW_16S_B_Ac_199;Streptomyces scabiei;Actinobacteria
CRW_16S_B_Ac_200;Streptomyces sp.;Actinobacteria
CRW_16S_B_Ac_201;Streptomyces subrutilus;Actinobacteria
CRW_16S_B_Ac_202;Streptomyces tendae;Actinobacteria
CRW_16S_B_Ac_203;Streptomyces thermodiastaticus;Actinobacteria
CRW_16S_B_Ac_204;Streptomyces thermolineatus;Actinobacteria
CRW_16S_B_Ac_205;Streptomyces thermoviolaceus;Actinobacteria
CRW_16S_B_Ac_206;Streptomyces thermovulgaris;Actinobacteria
CRW_16S_B_Ac_207;Streptomyces thermovulgaris;Actinobacteria
CRW_16S_B_Cy_208;Synechococcus elongatus;Cyanobacteria
CRW_16S_B_Chl_210;Thermomicrobium roseum;Chloroflexi
CRW_16S_B_The_211;Thermotoga maritima;Thermotogae
CRW_16S_B_The_212;Thermotoga maritima;Thermotogae
CRW_16S_B_D_213;Thermus aquaticus;Deinococcus-Thermus
CRW_16S_B_D_214;Thermus thermophilus;Deinococcus-Thermus
CRW_16S_B_D_215;Thermus thermophilus;Deinococcus-Thermus
CRW_16S_B_S_220;Treponema pallidum ;Spirochaetes
CRW_16S_B_Te_221;Ureaplasma urealyticum;Tenericutes
CRW_16S_B_Te_222;Ureaplasma urealyticum;Tenericutes
CRW_16S_B_P_223;Vibrio cholerae;Proteobacteria
CRW_16S_B_P_224;Vibrio cholerae;Proteobacteria
CRW_16S_B_P_225;Vibrio cholerae;Proteobacteria
CRW_16S_B_P_226;Vibrio cholerae;Proteobacteria
CRW_16S_B_P_227;Vibrio cholerae;Proteobacteria
CRW_16S_B_P_228;Vibrio parahaemolyticus;Proteobacteria
CRW_16S_B_P_229;Xanthomonas albilineans;Proteobacteria
CRW_16S_B_P_230;Xanthomonas campestris;Proteobacteria
CRW_16S_B_P_231;Xylella fastidiosa;Proteobacteria
CRW_16S_B_P_232;Yersinia pestis;Proteobacteria
CRW_16S_B_P_233;Yersinia pseudotuberculosis;Proteobacteria
