Id;Organism;Taxon
CRW_16S_E_F_238;Glomus sp. W3349;Fungi
CRW_16S_E_F_239;Glugea atherinae;Fungi
CRW_16S_E_F_240;Glugea stephani;Fungi
CRW_16S_E_F_244;Gurleya vavrai;Fungi
CRW_16S_E_F_246;Hazardia milleri;Fungi
CRW_16S_E_F_247;Hazardia sp.;Fungi
CRW_16S_E_F_248;Heterosporis anguillarum;Fungi
CRW_16S_E_F_253;Ichthyosporidium sp.;Fungi
CRW_16S_E_F_256;Janacekia debaisieuxi;Fungi
CRW_16S_E_F_265;Loma acerinae;Fungi
CRW_16S_E_F_269;Microgemma sp.;Fungi
CRW_16S_E_F_270;Microsporidium prosopium;Fungi
CRW_16S_E_F_271;Microsporidium sp. DP-1-19;Fungi
CRW_16S_E_F_273;Mucor circinelloides f. lusitanicus;Fungi
CRW_16S_E_F_274;Mucor racemosus;Fungi
CRW_16S_E_F_282;Neurospora crassa;Fungi
CRW_16S_E_F_284;Nosema apis;Fungi
CRW_16S_E_F_285;Nosema bombycis;Fungi
CRW_16S_E_F_286;Nosema bombycis;Fungi
CRW_16S_E_F_287;Nosema ceranae;Fungi
CRW_16S_E_F_288;Nosema furnacalis;Fungi
CRW_16S_E_F_289;Nosema necatrix;Fungi
CRW_16S_E_F_291;Nosema sp.;Fungi
CRW_16S_E_F_292;Nosema sp.;Fungi
CRW_16S_E_F_294;Nosema spodopterae;Fungi
CRW_16S_E_F_295;Nosema trichoplusiae;Fungi
CRW_16S_E_F_297;Nucleospora salmonis;Fungi
CRW_16S_E_F_302;Ordospora colligata;Fungi
CRW_16S_E_F_303;Orthosomella operophterae;Fungi
CRW_16S_E_F_311;Parathelohania anophelis;Fungi
CRW_16S_E_F_323;Pleistophora hippoglossoideos;Fungi
CRW_16S_E_F_325;Pleistophora sp.;Fungi
CRW_16S_E_F_330;Pneumocystis carinii;Fungi
CRW_16S_E_F_331;Podospora anserina;Fungi
CRW_16S_E_F_332;Polydispyrenia simulii;Fungi
CRW_16S_E_F_337;Pseudonosema cristatellae;Fungi
CRW_16S_E_F_342;Rhizopus oryzae;Fungi
CRW_16S_E_F_347;Saccharomyces cerevisiae;Fungi
CRW_16S_E_F_356;Spraguea lophii;Fungi
CRW_16S_E_F_372;Tilletia caries;Fungi
CRW_16S_E_F_375;Trachipleistophora hominis;Fungi
CRW_16S_E_F_385;Ustilago maydis;Fungi
CRW_16S_E_F_386;Vairimorpha imperfecta;Fungi
CRW_16S_E_F_387;Vairimorpha necatrix;Fungi
CRW_16S_E_F_388;Vairimorpha sp. C21;Fungi
CRW_16S_E_F_389;Vavraia culicis;Fungi
CRW_16S_E_F_390;Vittaforma corneae;Fungi
CRW_16S_E_G_15;Glaucocystis nostochinearum;Glaucocystophyceae
CRW_16S_E_G_16;Gloeochaete wittrockiana;Glaucocystophyceae
CRW_16S_E_G_200;Cyanophora paradoxa;Glaucocystophyceae
CRW_16S_E_G_235;Glaucocystis nostochinearum;Glaucocystophyceae
CRW_16S_E_G_236;Gloeochaete wittrockiana;Glaucocystophyceae
CRW_16S_E_G_9;Cyanophora paradoxa;Glaucocystophyceae
CRW_16S_E_H_13;Emiliania huxleyi;Haptophyceae
CRW_16S_E_H_277;Naegleria fowleri;Heterolobosea
CRW_16S_E_H_278;Naegleria gruberi;Heterolobosea
CRW_16S_E_J_255;Jakoba libera;Jakobida
CRW_16S_E_M_100;Oryctolagus cuniculus;Metazoa
CRW_16S_E_M_102;Pan troglodytes;Metazoa
CRW_16S_E_M_103;Paracentrotus lividus;Metazoa
CRW_16S_E_M_110;Protopterus dolloi;Metazoa
CRW_16S_E_M_113;Rana catesbeiana;Metazoa
CRW_16S_E_M_114;Rattus norvegicus;Metazoa
CRW_16S_E_M_117;Salmo salar;Metazoa
CRW_16S_E_M_120;Scyliorhinus canicula;Metazoa
CRW_16S_E_M_123;Sus scrofa�;Metazoa
CRW_16S_E_M_128;Vombatus ursinus;Metazoa
CRW_16S_E_M_130;Xenopus laevis;Metazoa
CRW_16S_E_M_146;Androctonus australis;Metazoa
CRW_16S_E_M_152;Artemia salina;Metazoa
CRW_16S_E_M_210;Drosophila melanogaster;Metazoa
CRW_16S_E_M_211;Echinococcus granulosus;Metazoa
CRW_16S_E_M_251;Homo sapiens;Metazoa
CRW_16S_E_M_272;Mnemiopsis leidyi;Metazoa
CRW_16S_E_M_275;Mus musculus;Metazoa
CRW_16S_E_M_276;Mytilus edulis;Metazoa
CRW_16S_E_M_299;Okanagana utahensis;Metazoa
CRW_16S_E_M_304;Oryctolagus cuniculus;Metazoa
CRW_16S_E_M_316;Placopecten magellanicus;Metazoa
CRW_16S_E_M_339;Rattus norvegicus;Metazoa
CRW_16S_E_M_376;Tripedalia cystophora;Metazoa
CRW_16S_E_M_392;Xenopus borealis;Metazoa
CRW_16S_E_M_393;Xenopus laevis;Metazoa
CRW_16S_E_M_40;Ailurus fulgens;Metazoa
CRW_16S_E_M_41;Alligator mississippiensis;Metazoa
CRW_16S_E_M_43;Anas platyrhynchos;Metazoa
CRW_16S_E_M_45;Artemia franciscana;Metazoa
CRW_16S_E_M_49;Bos taurus;Metazoa
CRW_16S_E_M_50;Caenorhabditis elegans;Metazoa
CRW_16S_E_M_56;Coturnix coturnix;Metazoa
CRW_16S_E_M_60;Cyprinus carpio;Metazoa
CRW_16S_E_M_61;Dasypus novemcinctus;Metazoa
CRW_16S_E_M_64;Drosophila virilis;Metazoa
CRW_16S_E_M_68;Felis catus;Metazoa
CRW_16S_E_M_69;Gallus gallus;Metazoa
CRW_16S_E_M_71;Gorilla gorilla;Metazoa
CRW_16S_E_M_75;Homo sapiens;Metazoa
CRW_16S_E_M_76;Homo sapiens;Metazoa
CRW_16S_E_M_86;Mesocricetus auratus;Metazoa
CRW_16S_E_M_87;Metridium senile;Metazoa
CRW_16S_E_M_88;Mus musculus;Metazoa
CRW_16S_E_M_89;Muscardinus avellanarius;Metazoa
CRW_16S_E_M_95;Odocoileus virginianus;Metazoa
CRW_16S_E_M_97;Oncorhynchus mykiss;Metazoa
CRW_16S_E_M_98;Ornithorhynchus anatinus;Metazoa
CRW_16S_E_R_136;Ahnfeltia plicata;Rhodophyta
CRW_16S_E_R_155;Audouinella dasyae;Rhodophyta
CRW_16S_E_R_156;Audouinella hermannii;Rhodophyta
CRW_16S_E_R_173;Balbiania investiens;Rhodophyta
CRW_16S_E_R_174;Bangia sp. (Northwest Territories/NWT);Rhodophyta
CRW_16S_E_R_175;Bangia sp. (Virgin Islands/VIS7);Rhodophyta
CRW_16S_E_R_176;Batrachospermum gelatinosum;Rhodophyta
CRW_16S_E_R_177;Batrachospermum macrosporum;Rhodophyta
CRW_16S_E_R_184;Bonnemaisonia hamifera;Rhodophyta
CRW_16S_E_R_185;Bostrychia moritziana;Rhodophyta
CRW_16S_E_R_189;Ceramium rubrum;Rhodophyta
CRW_16S_E_R_191;Chondrus crispus;Rhodophyta
CRW_16S_E_R_194;Corallina officinalis;Rhodophyta
CRW_16S_E_R_22;Palmaria palmata;Rhodophyta
CRW_16S_E_R_224;Erythrotrichia carnea;Rhodophyta
CRW_16S_E_R_230;Gelidium vagum;Rhodophyta
CRW_16S_E_R_242;Gracilariopsis sp.;Rhodophyta
CRW_16S_E_R_245;Halymenia plana;Rhodophyta
CRW_16S_E_R_250;Hildenbrandia rubra;Rhodophyta
CRW_16S_E_R_279;Nemalion helminthoides;Rhodophyta
CRW_16S_E_R_280;Nemalionopsis shawii;Rhodophyta
CRW_16S_E_R_281;Nemalionopsis tortuosa;Rhodophyta
CRW_16S_E_R_329;Plocamiocolax pulvinata;Rhodophyta
CRW_16S_E_R_344;Rhodochaete parvula;Rhodophyta
CRW_16S_E_R_345;Rhodogorgon carriebowensis;Rhodophyta
CRW_16S_E_R_346;Rhodymenia leptophylla;Rhodophyta
CRW_16S_E_R_368;Thorea hispida;Rhodophyta
CRW_16S_E_R_369;Thorea violacea;Rhodophyta
CRW_16S_E_R_370;Thorea violacea;Rhodophyta
CRW_16S_E_R_371;Thorea violacea;Rhodophyta
CRW_16S_E_R_52;Chondrus crispus;Rhodophyta
CRW_16S_E_R_8;Cyanidium caldarium;Rhodophyta
CRW_16S_E_Rh_226;Euglypha rotunda;Rhizaria
CRW_16S_E_Rh_316;Paulinella chromatophora;Rhizaria
CRW_16S_E_S_112;Pylaiella littoralis;Stramenopiles
CRW_16S_E_S_135;Achnanthes bongranii;Stramenopiles
CRW_16S_E_S_145;Amphora cf. capitellata;Stramenopiles
CRW_16S_E_S_149;Aphanomyces invadans;Stramenopiles
CRW_16S_E_S_158;Aulacoseira baicalensis;Stramenopiles
CRW_16S_E_S_182;Bolidomonas mediterranea;Stramenopiles
CRW_16S_E_S_190;Chaetoceros sp.;Stramenopiles
CRW_16S_E_S_195;Corethron criophilum;Stramenopiles
CRW_16S_E_S_201;Cymatosira belgica;Stramenopiles
CRW_16S_E_S_216;Encyonema triangulatum;Stramenopiles
CRW_16S_E_S_257;Labyrinthuloides minuta;Stramenopiles
CRW_16S_E_S_258;Lagenidium giganteum;Stramenopiles
CRW_16S_E_S_261;Lauderia borealis;Stramenopiles
CRW_16S_E_S_263;Leptocylindrus danicus;Stramenopiles
CRW_16S_E_S_264;Lithodesmium undulatum;Stramenopiles
CRW_16S_E_S_267;Melosira varians;Stramenopiles
CRW_16S_E_S_31;Pylaiella littoralis;Stramenopiles
CRW_16S_E_S_327;Pleurosira cf. laevis;Stramenopiles
CRW_16S_E_S_333;Porosira pseudodenticulata;Stramenopiles
CRW_16S_E_S_349;Sellaphora pupula f. capitata;Stramenopiles
CRW_16S_E_S_352;Skeletonema costatum;Stramenopiles
CRW_16S_E_S_358;Stephanopyxis nipponica;Stramenopiles
CRW_16S_E_S_363;Thalassionema sp. p474;Stramenopiles
CRW_16S_E_S_364;Thalassiosira antarctica;Stramenopiles
CRW_16S_E_S_366;Thalassiosira pseudonana;Stramenopiles
CRW_16S_E_V_105;Pedinomonas minor;Viridiplantae
CRW_16S_E_V_11;Cynomorium coccineum;Viridiplantae
CRW_16S_E_V_111;Prototheca wickerhamii;Viridiplantae
CRW_16S_E_V_12;Cytinus ruber;Viridiplantae
CRW_16S_E_V_121;Secale cereale;Viridiplantae
CRW_16S_E_V_126;Triticum aestivum;Viridiplantae
CRW_16S_E_V_132;Zea mays;Viridiplantae
CRW_16S_E_V_147;Antirrhinum majus;Viridiplantae
CRW_16S_E_V_150;Arabidopsis thaliana;Viridiplantae
CRW_16S_E_V_151;Arceuthobium verticilliflorum;Viridiplantae
CRW_16S_E_V_18;Hydnora africana;Viridiplantae
CRW_16S_E_V_19;Marchantia polymorpha;Viridiplantae
CRW_16S_E_V_2;Caulerpa sertularioides;Viridiplantae
CRW_16S_E_V_20;Nephroselmis olivacea;Viridiplantae
CRW_16S_E_V_21;Nicotiana tabacum;Viridiplantae
CRW_16S_E_V_228;Fragaria x ananassa;Viridiplantae
CRW_16S_E_V_23;Pedinomonas minor;Viridiplantae
CRW_16S_E_V_231;Genicularia spirotaenia;Viridiplantae
CRW_16S_E_V_24;Pilostyles thurberi;Viridiplantae
CRW_16S_E_V_241;Glycine max;Viridiplantae
CRW_16S_E_V_283;Nicotiana tabacum;Viridiplantae
CRW_16S_E_V_305;Oryza sativa;Viridiplantae
CRW_16S_E_V_317;Plantago lanceolata;Viridiplantae
CRW_16S_E_V_32;Pyramimonas parkeae;Viridiplantae
CRW_16S_E_V_33;Ricinus communis;Viridiplantae
CRW_16S_E_V_35;Spinacia oleracea;Viridiplantae
CRW_16S_E_V_350;Sesamum indicum;Viridiplantae
CRW_16S_E_V_351;Sinapis alba;Viridiplantae
CRW_16S_E_V_37;Zea mays;Viridiplantae
CRW_16S_E_V_4;Chlamydomonas reinhardtii;Viridiplantae
CRW_16S_E_V_51;Chlamydomonas reinhardtii;Viridiplantae
CRW_16S_E_V_6;Codium fragile;Viridiplantae
CRW_16S_E_V_70;Glycine max;Viridiplantae
CRW_16S_E_V_91;Nephroselmis olivacea;Viridiplantae
CRW_16S_E_V_96;Oenothera berteroana;Viridiplantae
